(3, ['Model', 'Name', 'IsFemale'], [203, 203, None], [(7, 0), (9, 0), (1, 0)], [False, False, True], None, None, True)
256
27372
Index[#version],Model,Name,IsFemale
0,RAP-13\xcb,ドロップブロ-\xcb ,\x00
1,PTL-13\xcb,ヤンクソ-ド\xcb  ,\x00
2,EGL-03\xcb,リ-クボックス\xcb ,\x00
3,HWK-03\xcb,バ-ンカプセル\xcb ,\x00
4,SWL-03\xcb,ナットルック\xcb  ,\x00
5,PRN-03\xcb,ティッパ-\xcb   ,\x00
6,RVN-03\xcb,クレ-バ-\xcb   ,\x00
7,CCD-03\xcb,ラ-ジノイジ-\xcb ,\x00
8,GRH-03\xcb,コンジュ-マ-\xcb ,\x00
9,CHC-03\xcb,フレイマ-\xcb   ,\x00
10,TJK-03\xcb,ホ-ルハンドル\xcb ,\x00
11,PCK-03\xcb,サックアウタ-\xcb ,\x00
12,SLN-13\xcb,コ-ドマフラ-\xcb ,\x01
13,CNR-03\xcb,フィ-ルナ-ブ\xcb ,\x01
14,PIC-03\xcb,バイリ-\xcb    ,\x01
15,MQT-03\xcb,インホ-ル\xcb   ,\x01
16,PTM-03\xcb,ビ-スイット\xcb  ,\x01
17,JPT-03\xcb,アッシュ\xcb    ,\x01
18,CRN-03\xcb,リペイド\xcb    ,\x01
19,DFL-13\xcb,フサフサ\xcb    ,\x00
20,FLS-03\xcb,バグフリッタ-\xcb ,\x00
21,ISE-03\xcb,ゲ-マ-\xcb    ,\x00
22,MAN-03\xcb,インバリッド\xcb  ,\x00
23,CHS-03\xcb,キャッチプレ-ト\xcb,\x00
24,DGD-03\xcb,デスシックル\xcb  ,\x00
25,QPD-03\xcb,ハッピ-アロ-\xcb ,\x00
26,VBL-03\xcb,ウェイタ-\xcb   ,\x00
27,DVL-03\xcb,ペケット\xcb    ,\x00
28,GAG-03\xcb,タ-ンスト-ン\xcb ,\x00
29,WCH-13\xcb,ト-ドボ-ル\xcb  ,\x01
30,SPN-03\xcb,ASBM\xcb    ,\x01
31,BCY-03\xcb,シュリ-カ-\xcb  ,\x01
32,MRS-03\xcb,マウントボ-ダ-\xcb,\x01
33,WEA-23\xcb,デスレ-ザ-\xcb  ,\x00
34,BOW-03\xcb,スライダ-\xcb   ,\x00
35,TLB-03\xcb,スピネット\xcb   ,\x00
36,MMT-03\xcb,バックラッシュ\xcb ,\x00
37,SRC-03\xcb,センスドライブ\xcb ,\x00
38,IVP-03\xcb,ハントプラント\xcb ,\x00
39,HMS-03\xcb,タイハンド\xcb   ,\x00
40,KBS-03\xcb,メルトファング\xcb ,\x00
41,DHN-03\xcb,ハンドチャ-ジ\xcb ,\x00
42,TIC-03\xcb,チュ-イン\xcb   ,\x00
43,LOS-03\xcb,プッスン\xcb    ,\x00
44,FLA-03\xcb,カッキキ-\xcb   ,\x00
45,FAW-03\xcb,サッチフォ-ス\xcb ,\x00
46,TMN-03\xcb,トラップポ-チ\xcb ,\x01
47,DRI-03\xcb,ギャザリング\xcb  ,\x01
48,CRK-03\xcb,ポッドスピ-チ\xcb ,\x01
49,ETH-03\xcb,リブウォ-タ-\xcb ,\x01
50,KWG-23\xcb,ピコペコハンマ-\xcb,\x00
51,KBT-23\xcb,サブマシンガン\xcb ,\x00
52,DDO-03\xcb,ストロ-ハンマ-\xcb,\x00
53,KLN-03\xcb,レンジシュ-タ-\xcb,\x00
54,KBT-33\xcb,マシンガンかい\xcb ,\x00
55,KBT-43\xcb,エクスプロ-ド\xcb ,\x00
56,LHB-13\xcb,ブロウパイプ\xcb  ,\x00
57,MWB-13\xcb,リンクス\xcb    ,\x00
58,TIR-13\xcb,ストライクコ-ル\xcb,\x00
59,BAN-13\xcb,レフトメリケン\xcb ,\x00
60,DOG-23\xcb,ロ-ルバレル\xcb  ,\x00
61,ALN-13\xcb,オッドア-ム\xcb  ,\x00
62,VER-03\xcb,クイックル\xcb   ,\x00
63,FLL-03\xcb,ロスタ-\xcb    ,\x00
64,KWG-38\xcb,ブラックビ-ト\xcb ,\x01
65,APL-03\xcb,エアフィン\xcb   ,\x00
66,PGM-03\xcb,シルバ-フィング\xcb,\x00
67,KRN-03\xcb,ゴ-ルデンロッド\xcb,\x00
68,TKG-03\xcb,ディシジョン\xcb  ,\x00
69,KWG-33\xcb,インテンスビ-ト\xcb,\x00
70,STG-13\xcb,ソリッドハンマ-\xcb,\x00
71,CHT-03\xcb,コンジュ-ム\xcb  ,\x00
72,WLF-03\xcb,オ-キシリィ\xcb  ,\x00
73,RCM-03\xcb,スチ-ムパイプ\xcb ,\x00
74,KBT-33\xcb,ブラスタ-\xcb   ,\x00
75,KLN-13\xcb,ダクトシュ-タ-\xcb,\x00
76,KBT-38\xcb,ブラックブラスタ\xcb,\x01
77,GNB-03\xcb,アイアンタ-トル\xcb,\x00
78,BAF-03\xcb,アンガス\xcb    ,\x00
79,SRU-03\xcb,プラクトピック\xcb ,\x00
80,SHP-03\xcb,ウォ-タポ-ト\xcb ,\x00
81,GHL-03\xcb,スポイラ-\xcb   ,\x00
82,SLR-23\xcb,ファイヤ-ア-ム\xcb,\x01
83,NAS-23\xcb,モバイルカプセル\xcb,\x01
84,CAT-23\xcb,アジルブロ-\xcb  ,\x01
85,VAL-13\xcb,グレイスシ-ルド\xcb,\x01
86,BNY-13\xcb,フル-ツジュ-ス\xcb,\x01
87,GRW-03\xcb,ユニシャベル\xcb  ,\x01
88,CMP-13\xcb,ステップフィ\xcb  ,\x01
89,MIK-03\xcb,ティア-プレ-ト\xcb,\x01
90,MID-03\xcb,フライパン\xcb   ,\x01
